index,x,y,yaw,curvature,curvature_abs,offset_m,raceline_deviation_m,nudge_weight
325,-4.2383937222173,0.79511362333427,-0.026541106134947912,-0.038935230241304464,0.038935230241304464,0.0,0.0,0.0
326,-4.20839726279704,0.794299761339865,-0.02773150480954518,-0.0404048398885283,0.0404048398885283,0.0,0.0,0.0
327,-4.17840180402609,0.793449530561929,-0.028960622453006533,-0.04151583956740211,0.04151583956740211,0.0,0.0,0.0
328,-4.14840742411358,0.792561932394297,-0.03022225866469192,-0.042572189721615625,0.042572189721615625,0.0,0.0,0.0
329,-4.11841420195743,0.791636017556768,-0.03151559456348982,-0.04362861586247957,0.04362861586247957,0.0,0.0,0.0
330,-4.08842221645555,0.79067083676914,-0.03284063271280989,-0.0446851343978842,0.0446851343978842,0.0,0.0,0.0
331,-4.05843154651967,0.789665440722383,-0.03419757996055041,-0.045755341239069255,0.045755341239069255,0.0,0.0,0.0
332,-4.02844227685097,0.788618868017752,-0.035587163693619944,-0.04686034334745424,0.04686034334745424,0.0,0.0,0.0
333,-3.99845450687979,0.787530126498535,-0.03700998948113923,-0.04797091396799316,0.04797091396799316,0.0,0.0,0.0
334,-3.96846833834441,0.786398219188544,-0.03846614244941394,-0.04908160091088361,0.04908160091088361,0.0,0.0,0.0
335,-3.93848387298309,0.785222149111593,-0.03995561597662919,-0.050191731390379433,0.050191731390379433,0.0,0.0,0.0
336,-3.90850121251709,0.784000919878144,-0.04147417530941464,-0.05102016443057124,0.05102016443057124,0.0,0.0,0.0
337,-3.87852045131429,0.782733788736631,-0.04300678500117723,-0.051128178485458566,0.051128178485458566,0.0,0.0,0.0
338,-3.84854166493925,0.781420661509357,-0.0445409348233717,-0.05112280066554738,0.05112280066554738,0.0,0.0,0.0
339,-3.81856492599393,0.78006154620785,-0.04607492542327654,-0.05111755861705945,0.05111755861705945,0.0,0.0,0.0
340,-3.78859030708028,0.778656450843634,-0.047608757916007445,-0.05111226287667482,0.05111226287667482,0.0,0.0,0.0
341,-3.75861788078795,0.77720538359853,-0.04914130563014228,-0.051031933549615285,0.051031933549615285,0.0,0.0,0.0
342,-3.72864771483737,0.775708420180946,-0.050668602307484885,-0.05076228691476565,0.05076228691476565,0.0,0.0,0.0
343,-3.69867986467778,0.774165806475696,-0.05218736829140484,-0.050463367163292916,0.050463367163292916,0.0,0.0,0.0
344,-3.66871438385545,0.772577814757597,-0.05369716607012529,-0.050164555534394785,0.050164555534394785,0.0,0.0,0.0
345,-3.63875132591668,0.770944717301469,-0.05519800642792844,-0.049866352799715345,0.049866352799715345,0.0,0.0,0.0
346,-3.60879074443235,0.769266785937453,-0.05669234509809887,-0.04973121737782701,0.04973121737782701,0.0,0.0,0.0
347,-3.57883270108342,0.76754414599344,-0.05818859226759393,-0.04999355547683942,0.04999355547683942,0.0,0.0,0.0
348,-3.54887727732746,0.765776565545928,-0.0596936048194978,-0.05031543256269533,0.05031543256269533,0.0,0.0,0.0
349,-3.51892455757969,0.763963759243456,-0.06120827769202278,-0.050637416572771224,0.050637416572771224,0.0,0.0,0.0
